,,Ωbh2,Ωch2,h,τ,ns,lnA,logL,logL_birth,nlive
labels,,$\Omega_b h^2$,$\Omega_c h^2$,$h$,$\tau$,$n_s$,$\ln(10^{10}A_s)$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
1829,0.0,0.024403020875516313,0.08880664926503,0.8274768164035419,0.10639604537876665,1.135329667965948,2.971468806058597,71023.46210160546,55491.96079580814,491
1830,0.0,0.019854831823409056,0.08366582833983775,0.7288791359004884,0.04354035307183153,1.1464363575515126,2.6814389162352277,71066.2831941418,51108.477731129125,490
1831,0.0,0.020193199697965507,0.10432358564093533,0.650408749638863,0.06992607029168325,1.0731707617777868,2.9160816509920853,71091.97899505706,48598.75339027422,489
1832,0.0,0.02007199676902614,0.1112859838644537,0.774170612593873,0.084936215881031,1.269705909943424,2.8910225139525827,71140.04309847785,63970.61313465534,488
1833,0.0,0.024889372084497662,0.12991031904372896,0.6750871664381487,0.04797402562696377,1.134512156037163,2.8273751597900136,71184.21370555,67843.70360505505,487
1834,0.0,0.019270332172384892,0.11113259265779919,0.8338083716217148,0.06758604011598927,1.0565842033892971,3.078176647308816,71187.57686311073,37165.02803114032,486
1835,0.0,0.028489738108485544,0.11213270075069515,0.7934025707386363,0.14845101243819617,0.9739151570564946,3.025544162776748,71276.92933120445,66661.48901530012,485
1836,0.0,0.02187834590004514,0.08878246337030685,0.6925083133793494,0.06067389677239236,0.9972827898806513,2.819995744759494,71289.71993932806,63970.61313465534,484
1837,0.0,0.019474775957165073,0.10181803552518627,0.8345786513455636,0.058863271704657265,1.0018337557048391,3.1171564684793336,71300.48866246708,38325.40407951255,483
1838,0.0,0.027732830680789307,0.16691443881635584,0.7174568628547552,0.06496254422433786,0.8844557570722752,3.097977059931486,71312.28900651379,65769.38532750557,482
1839,0.0,0.021996849871783995,0.12587174996314626,0.8184050882196762,0.15399522773891403,1.15575021195378,3.1532916999835225,71313.06264328571,54589.21997103193,481
1840,0.0,0.02179948965895034,0.11580792526390712,0.8544339525055566,0.10649696324009666,1.0897028491682337,3.1358516703612564,71407.7431994441,70702.09941144544,500
1841,0.0,0.020398923298203454,0.09184220879426568,0.8293590293218579,0.1295429050160507,1.033728462194003,3.200264290850201,71459.71436970145,70185.4265082215,499
1842,0.0,0.025661905580094443,0.120214771528701,0.7660470408177412,0.14848864863521857,0.9255445772814747,3.318052906842905,71461.57033140305,68965.16029472966,498
1843,0.0,0.019889537046871797,0.09251595005892416,0.7075881823945136,0.1171887222645383,0.9836905177209144,3.103218382189883,71467.16625778112,64819.80603673188,497
1844,0.0,0.02016668361434386,0.16278537013663869,0.6413724886350725,0.05081377423220721,1.1232310842408662,3.0138852405304917,71477.85720648972,68506.90622760358,496
1845,0.0,0.01953938052833186,0.15657329702995826,0.641557556083525,0.044946241227362675,1.1092942969423107,3.029139637720349,71515.27079750178,21687.252550110712,495
1846,0.0,0.025021928315098627,0.10745133047832245,0.6848593709330006,0.10175917654960843,0.8983375440728995,3.1137448945554103,71518.28337893153,46215.11718281837,494
1847,0.0,0.02535590501625598,0.10147114501854904,0.821812985652006,0.1411617536348317,1.0110646811867117,2.9846637638733835,71525.9548521703,71313.06264328571,493
1848,0.0,0.026490613254337155,0.12132292835507574,0.6417249257700137,0.09530104499435463,0.8706535595361242,3.120712304410982,71542.78587448821,52101.10967882213,492
1849,0.0,0.021605604355784073,0.0806977780931996,0.7677036301255284,0.06145189847638785,0.8997210546501482,2.9933638727642697,71547.78920951133,59345.18227990819,491
1850,0.0,0.019578991864518343,0.11352683549951863,0.7775639272080227,0.0557414291294181,1.2622262151731383,2.768279458059044,71574.3874615596,61103.02985547604,490
1851,0.0,0.02307535504900918,0.13960345986149966,0.7232090862422491,0.14084855627413345,0.9033362351378129,3.370864252946305,71632.15621543414,46215.11718281837,489
1852,0.0,0.029367311801932763,0.1779683151716636,0.7436853763573261,0.11648996959313646,0.8691751454099584,3.2829565731741486,71674.68381528894,70185.4265082215,488
1853,0.0,0.02826153597254892,0.1800585142110636,0.7460673796895412,0.1219941142003519,0.8975334251880371,3.312886300854295,71676.9601874662,11530.95644300508,487
1854,0.0,0.02931131462995087,0.18784351835792396,0.7362380398135622,0.12132299260959165,0.8670658717261696,3.3569381760308366,71686.50756145729,67285.94463040287,486
1855,0.0,0.018747811560600906,0.1355982430110041,0.6814355509158906,0.10516055053499085,1.2160851508624595,2.9067509987871083,71736.71138611838,30880.98179265859,485
1856,0.0,0.020675408617777714,0.09075012561706383,0.7624446239767385,0.11155626463750652,1.0382874757586482,3.087363137224303,71775.916448757,63299.326658441794,484
1857,0.0,0.0199940167755862,0.15226381471522407,0.7068709848141091,0.06508140710244419,1.0190009477926618,3.0774098625954776,71783.94738452247,44871.002571217265,483
1858,0.0,0.020202107469306892,0.08719434640257014,0.7752635542666091,0.05155984004676559,0.8510367072844921,3.0851823189688052,71813.36320328909,57124.54018535164,482
1859,0.0,0.03430669510078424,0.1726021712326215,0.7846041241144426,0.15946262679214046,0.9335177307485782,3.333787172775586,71825.3044822175,54053.09043184597,481
1860,0.0,0.018696815808069617,0.09681985624698988,0.6690401501022814,0.0780389058880306,0.899676658985962,3.08686669636373,71837.39737559107,70702.09941144544,500
1861,0.0,0.027527670029745863,0.1248751102382908,0.7600561642711527,0.10950179254064524,1.098982303549231,3.034451224657607,71870.64972540474,67843.70360505505,499
1862,0.0,0.027910434404168964,0.13297018700186888,0.7667200889986194,0.15181797539378322,1.0208361619245792,3.0605303161275694,71888.19215961156,69673.75923305537,498
1863,0.0,0.021856855481228104,0.14383945330337145,0.7183687397243184,0.12702282412696214,1.0529717106192662,3.222079480003187,71893.76397847683,70702.09941144544,497
1864,0.0,0.027709837607709845,0.13134524253689878,0.7909770934856386,0.08473342826203314,1.141568668662102,2.9358537343903466,71904.63452353675,67843.70360505505,496
1865,0.0,0.021548938662999093,0.09579544087326454,0.6659548821343336,0.05522430717941485,0.8501847390882364,2.9129412940474175,71926.36690183273,69673.75923305537,495
1866,0.0,0.025501068945468795,0.12996190117713624,0.7416033367068717,0.12405628545797964,0.854697797451721,3.3424438491050332,71941.17455648654,49646.68971616679,494
1867,0.0,0.021562452897519548,0.14062615113769264,0.740843409511194,0.08012078591295298,1.1554315426066353,2.9413993661179556,71950.76975193186,18474.863120697228,493
1868,0.0,0.023910959513136373,0.06945805432974068,0.849164020723994,0.08704187797390166,1.0079299054936917,2.82835426462299,71987.63614176895,63299.326658441794,492
1869,0.0,0.019599092820644953,0.13693270723931,0.7497395680659762,0.08491523699525544,1.0098727949377018,3.1566471687225013,71994.93206788621,61767.72099129713,491
1870,0.0,0.023567404074012564,0.1565705383932439,0.6703940963404234,0.06563426225998795,1.1458762938623954,2.9084982851028043,72003.29281488506,58902.995308060534,490
1871,0.0,0.02036149990809768,0.11572040212498494,0.6657829573413773,0.06511721844790493,0.9194120144906482,2.9181704715267256,72018.32636197141,67285.94463040287,489
1872,0.0,0.019234867238711963,0.14452197134120265,0.6614468429544785,0.04153231617870248,1.1017075903635385,3.0283011629689796,72018.97287705535,11530.95644300508,488
1873,0.0,0.025204896709580954,0.15079539592403837,0.7310284334968932,0.11412753710509012,1.0789808122676114,3.0202558798675003,72029.50598789344,58902.995308060534,487
1874,0.0,0.0199836868668992,0.13725447839366864,0.7166311404248157,0.040232166829406765,1.0697273977976227,3.0546904330688927,72035.30849773437,-92955.08291001101,486
1875,0.0,0.027523130409957186,0.10083331334594207,0.8364597968349325,0.08675447401416742,0.8490201994235457,3.221079359728686,72101.3220994801,67285.94463040287,485
1876,0.0,0.026059350405337002,0.15148281879223566,0.7304328587515155,0.09515395896158271,1.0919969569566923,3.0485632022545306,72122.88121227943,-323466.2334520217,484
1877,0.0,0.020012378342886897,0.08596056771485727,0.7898933698291187,0.07294793541608377,1.1374793756524855,2.7359539921740383,72140.40393666286,65769.38532750557,483
1878,0.0,0.026150270759249652,0.19990317430625304,0.6512132435160455,0.0525375213656885,0.9746918687200943,3.1200432311710706,72188.44084097323,58902.995308060534,482
1879,0.0,0.02716252070794267,0.13004997444906136,0.8570353320729724,0.08708038325906198,1.0001326882691004,3.146726092840091,72196.56328192347,70702.09941144544,481
1880,0.0,0.027870383754717672,0.16038395087908913,0.6808921965896446,0.0969044812165369,1.0102633027154253,3.1260233306914413,72205.54815683079,-57092.1470508006,500
1881,0.0,0.024860576107800444,0.16862406251095702,0.6801328928770125,0.04357298234465964,0.8540571060365492,3.23848104494816,72213.78728831,61767.72099129713,499
1882,0.0,0.021302753228261112,0.09410429265192465,0.7187414974704627,0.11478427178133588,0.8747953687868109,3.172526350897301,72243.49612304036,71313.06264328571,498
1883,0.0,0.022233819455162583,0.11603840526349249,0.661205976311183,0.06844372311764205,0.877369548185475,2.9279707200568876,72268.94509827663,71313.06264328571,497
1884,0.0,0.01895829430885446,0.11949271113847179,0.6451167104323074,0.05650086750722887,0.9988972596262093,2.857525358187827,72313.3484905818,67285.94463040287,496
1885,0.0,0.02164031510515903,0.1355680790428001,0.7808417419520328,0.10828256370762471,0.9691664572934775,3.222952080181282,72326.51955101013,71313.06264328571,495
1886,0.0,0.022222809384189832,0.158639219284649,0.7120434271750129,0.09337108918119448,1.0659345045905464,3.0606477745439165,72357.37391118382,63970.61313465534,494
1887,0.0,0.018742439266881118,0.10002691027794144,0.6545601919452748,0.06415395580720498,1.0738854753307978,2.921532532441047,72370.3821292629,68506.90622760358,493
1888,0.0,0.023023297861493437,0.127295512617022,0.8067800533768124,0.05316276041490248,0.9799273700167918,3.030310153209978,72370.609542918,-inf,492
1889,0.0,0.02447346332796056,0.14301207227796853,0.7835888948165236,0.11822902866506478,1.0891707914249955,3.0906217382644665,72405.0661534415,72196.56328192347,491
1890,0.0,0.022442762353695883,0.1585418230749188,0.7265336520521244,0.11231024760639714,0.905666279223901,3.3131372511204913,72410.7453854594,-102017.2361039228,490
1891,0.0,0.020010455035539887,0.11499781298175192,0.7192168326755559,0.08974406179640067,0.8797723582963826,3.0869006718739644,72422.34592686262,15520.468886640037,489
1892,0.0,0.020956866523988413,0.10504854590247249,0.8031676314152666,0.11872314506886442,1.2007600141466375,3.0313129079111807,72466.03243717803,62479.34810680221,488
1893,0.0,0.028661409797865876,0.12883828526910635,0.8793158201001307,0.15491040120421762,1.0212238106117923,3.247209611532868,72477.42038391465,58902.995308060534,487
1894,0.0,0.018981798432897636,0.1504199955943113,0.6648309225713239,0.14044505634018964,1.0000257779864645,3.3358893204912388,72494.42729684262,71313.06264328571,486
1895,0.0,0.02324179763418347,0.13706368938155958,0.7145910582316992,0.04668192882751348,1.0115456216581888,2.88409063131187,72513.64816840016,59345.18227990819,485
1896,0.0,0.020636883265386166,0.1388156548222853,0.6543841269838302,0.06520746756499603,1.0931893455471642,3.0306548995707963,72573.9362500459,61767.72099129713,484
1897,0.0,0.021106753817764577,0.11612221237546011,0.7757152300216228,0.06762719657403773,1.1843944259715282,2.8102873327890685,72574.67987663725,38325.40407951255,483
1898,0.0,0.024153052463625282,0.09240049912843992,0.7878746182224441,0.08926429394627322,0.9299004879086249,3.109351099407,72581.41398605538,68965.16029472966,482
1899,0.0,0.025203558933966697,0.10649454383068843,0.8601800899311416,0.09015260103272563,0.8664161125080054,3.126911507778053,72609.01889486518,72196.56328192347,481
1900,0.0,0.023951732067441802,0.14448918989526108,0.719701672650394,0.14101558347986903,1.1250670800910292,3.1162605152103073,72647.58751896657,60402.13810680808,500
1901,0.0,0.027199367803559995,0.14826671546288364,0.7388686900351051,0.06807311527771397,0.9002560275443205,3.214567259644447,72652.29896756208,40550.90460743733,499
1902,0.0,0.025607553055335793,0.10400494291358311,0.7866630980671395,0.12583085185609633,0.9774599135254222,2.9640446399081815,72668.6088448106,63299.326658441794,498
1903,0.0,0.019411026359000844,0.07003073038250614,0.8359516686283043,0.08388162129876532,1.0037257781291478,2.9983313811679486,72676.74632219967,44871.002571217265,497
1904,0.0,0.023783465977558125,0.12096643854044865,0.722822506113289,0.09700376943055344,1.026975031453912,3.1086497171966214,72678.48179861793,60402.13810680808,496
1905,0.0,0.022354681127963034,0.11877580851232047,0.8281869887114464,0.04493207751611833,1.1119461003500382,2.9831804456956164,72697.99433832624,72196.56328192347,495
